項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
407,特願2016-138000,特開2018-007792,"2016/07/12
 2018/01/18
 -",表情認知診断支援装置,株式会社コンフォートビジョン研究所,"A61B10/00@H 
 A61B5/10,300@A 
 A61B5/107"
408,特願2017-511968,特許6261808,"2017/02/27
 2018/01/17
 2017/12/22",会計処理装置、会計処理システム、会計処理方法、及び会計処理プログラム,ファーストアカウンティング株式会社,"G06Q40/00,420 
 G06Q50/10"
409,特願2016-132798,特開2018-007078,"2016/07/04
 2018/01/11
 -",画像処理装置、撮像装置、画像処理方法及びプログラム,株式会社ニコン,"H04N5/232@Z 
 G03B13/36 
 G03B15/00@Q 
 他"
410,特願2017-196062,特開2018-005947,"2017/10/06
 2018/01/11
 -",複数の機械と相互通信を行う機械システム、機械制御用コンピュータ、ベースソフトウェア、コンピュータ読取可能な記録媒体、及び機械制御方法,ファナック株式会社,G05B19/418@Z
411,特願2016-141855,特開2018-005868,"2016/06/30
 2018/01/11
 -",フリック入力時の特徴を機械学習させて個人を識別する方法,宇田 隆哉,"G06F3/0488,160 
 G06F3/023,310@L 
 G06F3/023,460"
412,特願2016-132923,特開2018-005640,"2016/07/04
 2018/01/11
 -",分類器生成装置、画像検査装置、及び、プログラム,タカノ株式会社 他,"G06T7/00,350@C 
 G01N21/88@J 
 G06T7/00,610"
413,特願2016-132527,特開2018-005611,"2016/07/04
 2018/01/11
 -",情報処理装置,株式会社ＮＴＴドコモ,"G06F17/30,310@Z 
 G06T1/00,510 
 G06T7/00,350@B"
414,特願2016-130878,特開2018-005520,"2016/06/30
 2018/01/11
 -",物体検出装置及び物体検出方法,クラリオン株式会社,"G06T7/00,350@C 
 G06N3/04,154 
 G06T7/00,650"
415,特願2016-129997,特開2018-005462,"2016/06/30
 2018/01/11
 -",認識装置及び認識方法,株式会社日立ソリューションズ,"G06K9/20,340@K 
 G06K9/00@P 
 G06K9/20,340@C 
 他"
416,特願2016-129382,特開2018-005426,"2016/06/29
 2018/01/11
 -",メッセージ配信方法、情報処理装置、及びプログラム,ＬＩＮＥ株式会社,"G06Q30/02,396"
417,特願2016-128904,特開2018-004813,"2016/06/29
 2018/01/11
 -",コミュニケーション能力推定装置、方法およびプログラム,学校法人成蹊学園,"G10L15/10,500@Z 
 G06N99/00,153 
 G10L15/00,200@D"
418,特願2016-132529,特開2018-004473,"2016/07/04
 2018/01/11
 -",軸受の予測寿命を学習する機械学習装置、寿命予測装置および機械学習方法,ファナック株式会社,"G01M13/04 
 G06N99/00,150"
419,特願2016-130713,特開2018-004397,"2016/06/30
 2018/01/11
 -",機器電流解析装置、機器電流解析プログラム、及び機器電流管理装置,アルプスシステムインテグレーション株式会社,"G01R21/00@P 
 H02J13/00,301@A"
420,特願2016-126930,特開2018-001282,"2016/06/27
 2018/01/11
 -",稼働状況検知方法、稼働状況検知システムおよび稼働状況検知プログラム,安川情報システム株式会社,"B25D17/00 
 E02F9/20@N"
421,特願2016-127887,特開2018-001184,"2016/06/28
 2018/01/11
 -",溶接監視システム,株式会社日立製作所,"B23K11/25 
 B23K31/00@K 
 B23K11/25,510 
 他"
422,特願2016-136349,特開2018-000871,"2016/07/08
 2018/01/11
 -",生体の動作識別システム及び生体の動作識別方法,国立大学法人岩手大学,"A61B5/10,310@K 
 A61B5/04,330 
 A61B5/11,310"
423,特願2016-130063,特開2018-000428,"2016/06/30
 2018/01/11
 -",造影剤管理装置,東芝メディカルシステムズ株式会社,"A61J3/00,310@K 
 A61B6/03,375 
 G06Q50/24"
424,特願2016-126451,特開2018-000230,"2016/06/27
 2018/01/11
 -",逐次姿勢識別装置、逐次姿勢識別方法および逐次姿勢識別プログラム,エヌ・ティ・ティ アイティ株式会社 他,"A61B5/00,102@C 
 A61B5/04,312@Q 
 A61B5/10,300@D 
 他"
425,特願2017-558565,再表2018/008605,"2017/07/03
 2018/01/11
 2018/04/27",人工知能を有するシステム,株式会社ＳＥＬＴＥＣＨ,"G06F21/62,318 
 G06F11/30,140@C 
 G06F11/30,140@E 
 他"
426,特願2017-550946,特許6259962,"2017/03/30
 2018/01/10
 2017/12/15",遠隔作業支援システム、遠隔作業支援方法およびプログラム,株式会社オプティム,"G06F13/00,650@A"
427,特願2017-140890,特許6259946,"2017/07/20
 2018/01/10
 2017/12/15",機械学習システム、識別システム及びプログラム,株式会社ＮＴＴドコモ,"G06N3/08 
 G06F17/28,627"
428,特願2016-190043,特開2017-228266,"2016/09/28
 2017/12/28
 2018/06/29",スマート車両に用いられる局部軌跡計画方法及び装置,バイドゥ オンライン ネットワーク テクノロジー （ベイジン） カンパニー リミテッド,"G08G1/16@D 
 B60W30/10 
 G08G1/00@X"
429,特願2016-123674,特開2017-228086,"2016/06/22
 2017/12/28
 -",機械学習管理プログラム、機械学習管理方法、および機械学習管理装置,富士通株式会社,"G06N99/00,153 
 G06F12/08,543@B 
 G06F12/12,501 
 他"
430,特願2016-123405,特開2017-228068,"2016/06/22
 2017/12/28
 -",機械学習管理プログラム、機械学習管理方法および機械学習管理装置,富士通株式会社,"G06N99/00,153 
 G06F17/18@D"
431,特願2017-116554,特開2017-227892,"2017/06/14
 2017/12/28
 -",物理学ベースのエッチングプロファイルモデリングフレームワークを用いた高速エッジ配置誤差予測によるフォトレジスト設計レイアウトパターン近接効果補正,ラム リサーチ コーポレーション,"G03F1/36 
 H01L21/302,105@A"
432,特願2016-124617,特開2017-225688,"2016/06/23
 2017/12/28
 -",磁気共鳴イメージング装置、画像処理装置、及び拡散強調画像計算方法,株式会社日立製作所,"A61B5/05,382 
 G01N24/08,520@Y 
 A61B5/05,380 
 他"
433,特願2016-121737,特開2017-225489,"2016/06/20
 2017/12/28
 -",情報処理装置、情報処理方法及びプログラム,ソニー株式会社,"A61B5/05@C 
 A61B5/16"
434,特願2017-139641,特許6253838,"2017/07/19
 2017/12/27
 2017/12/08",行動ログ生成方法、行動ログ生成装置及び行動ログ生成プログラム,株式会社ＵＮＣＯＶＥＲ ＴＲＵＴＨ,"G06Q30/02,444 
 G06Q50/10"
435,特願2016-177109,特開2017-224264,"2016/09/09
 2017/12/21
 -",データ処理システム,富士ゼロックス株式会社,"G06F17/30,180@A 
 G06F17/30,415"
436,特願2016-121083,特開2017-224245,"2016/06/17
 2017/12/21
 -",機械学習制御プログラム、機械学習制御方法、および機械学習制御装置,富士通株式会社,"G06N99/00,150"
437,特願2016-119697,特開2017-224190,"2016/06/16
 2017/12/21
 -",コミュニケーションを支援する人工知能システム,株式会社オルツ,"G06Q50/00,300 
 G06F17/30,180@A 
 G06N3/00,140"
438,特願2016-119622,特開2017-224185,"2016/06/16
 2017/12/21
 -",バグ混入確率計算プログラム及びバグ混入確率計算方法,国立大学法人大阪大学 他,"G06F11/36,116 
 G06F19/00,100 
 G06F17/30,350@C 
 他"
439,特願2016-119599,特開2017-224184,"2016/06/16
 2017/12/21
 -",機械学習装置,株式会社日立製作所,"G06F17/30,210@D 
 G06T7/00,300@F 
 G06F17/30,170@B 
 他"
440,特願2016-117805,特開2017-224080,"2016/06/14
 2017/12/21
 -",学習用データ作成装置、その方法及びプログラム,株式会社エンルート 他,"G06T7/00,350@B 
 G06N99/00,150"
441,特願2016-118920,特開2017-223544,"2016/06/15
 2017/12/21
 -",目標識別装置,三菱電機株式会社,"G01S3/782@B 
 G06T7/00,350@B"
442,特願2016-232331,特開2017-220205,"2016/11/30
 2017/12/14
 -",検索クエリに応答してコンテンツとマッチングしようとする画像を動的にランキングする方法及びシステム,バイドゥ・ユーエスエイ・リミテッド・ライアビリティ・カンパニー,"G06F17/30,380@E 
 G06F17/30,220@C 
 G06F17/30,350@C"
443,特願2016-116599,特開2017-220179,"2016/06/10
 2017/12/14
 -",コンテンツ処理装置、コンテンツ処理方法及びプログラム,凸版印刷株式会社,"G06F17/27,665 
 G06F17/30,380@Z 
 G06F17/30,330@C 
 他"
444,特願2016-116547,特開2017-220176,"2016/06/10
 2017/12/14
 -",判定装置、判定方法、および判定プログラム,富士通株式会社,"G05B23/02,302@R 
 B25J19/06"
445,特願2016-115505,特開2017-220111,"2016/06/09
 2017/12/14
 -",異常負荷検出の閾値を学習する機械学習器，数値制御装置および機械学習方法,ファナック株式会社,"G05B19/18@X 
 B23Q17/09@H 
 G05B19/4155@V"
446,特願2016-112365,特開2017-219942,"2016/06/06
 2017/12/14
 -",接触検出装置、プロジェクタ装置、電子黒板装置、デジタルサイネージ装置、プロジェクタシステム、接触検出方法、プログラム及び記憶媒体。,株式会社リコー,"G06F3/041,590 
 G03B21/00@D 
 H04N5/74@Z 
 他"
447,特願2016-115568,特開2017-219479,"2016/06/09
 2017/12/14
 -",微小粒子計測装置及び分析方法,住友電気工業株式会社,"G01N21/49@Z 
 G01N33/48@M 
 G01N15/14@C 
 他"
448,特願2016-115900,特開2017-218105,"2016/06/10
 2017/12/14
 -",履帯式走行体,株式会社リコー,"B62D55/06 
 B60K7/00 
 B62D55/30@Z 
 他"
449,特願2016-110758,特開2017-215898,"2016/06/02
 2017/12/07
 -",機械学習システム,株式会社マーズスピリット,"G06N99/00,153"
450,特願2016-110288,特開2017-215861,"2016/06/01
 2017/12/07
 -",行動認識装置，学習装置，並びに方法およびプログラム,トヨタ自動車株式会社,"G06T7/20,300@A 
 G06T7/00,350@B 
 G06T7/00,650"
451,特願2016-109909,特開2017-215835,"2016/06/01
 2017/12/07
 -",ロボット評価装置及びロボット評価プログラム,富士ゼロックス株式会社,"G06N99/00,150"
452,特願2016-110146,特開2017-215520,"2016/06/01
 2017/12/07
 -",識別装置,株式会社ＮＴＴドコモ,"G10G3/04 
 G01H3/00@B"
453,特願2016-110740,特開2017-215277,"2016/06/02
 2017/12/07
 -",欠陥検査システム、フィルム製造装置及び欠陥検査方法,住友化学株式会社,G01N21/892@A
454,特願2016-107365,特開2017-215157,"2016/05/30
 2017/12/07
 -",情報処理装置、プログラム、転倒予測システム,株式会社リコー,"G01H1/00@E 
 G01V1/00@D 
 G06F19/00,100 
 他"
455,特願2016-189223,特開2017-211969,"2016/09/28
 2017/11/30
 -",位置情報を利用した行動分析システム及びそのプログラム,技研商事インターナショナル株式会社,G06Q50/10
456,特願2016-106428,特開2017-211930,"2016/05/27
 2017/11/30
 -",寿命故障条件を学習する機械学習装置，故障予知装置，機械システムおよび機械学習方法,ファナック株式会社,"G06N99/00,153 
 G05B23/02,302@Z 
 G06Q10/00,300"
457,特願2016-105885,特開2017-211898,"2016/05/27
 2017/11/30
 -",学習システム、特徴学習装置、その方法、及びプログラム,日本電信電話株式会社,"G06F21/31 
 G06N99/00,153 
 G06F21/45"
458,特願2016-104915,特開2017-211851,"2016/05/26
 2017/11/30
 -",コンテンツ配信システム、コンテンツ配信装置、コンテンツ配信方法、及びプログラム,日本電信電話株式会社,"G06F13/00,510@G 
 G09F19/00@Z 
 G06Q30/02,398"
459,特願2016-103437,特開2017-211765,"2016/05/24
 2017/11/30
 -",物体認識装置,アイシン精機株式会社,"G06T7/00,150 
 G06T1/00,330@B 
 H04N5/232@Z 
 他"
460,特願2016-102217,特開2017-211689,"2016/05/23
 2017/11/30
 -",分類モデル装置、分類モデル学習方法、および分類モデル学習プログラム,株式会社ツクタ技研,"G06F17/30,210@D 
 G06N99/00,153 
 G06F17/30,170@B 
 他"
461,特願2016-102066,特開2017-211682,"2016/05/23
 2017/11/30
 -",データ検索視点生成方法、設備管理装置およびそれを用いた設備管理システム,三菱電機株式会社,"G06F17/30,220@Z 
 G06Q10/00,300 
 G06F17/30,170@Z"
462,特願2016-104135,特開2017-211259,"2016/05/25
 2017/11/30
 -",検査装置、検査方法、及びプログラム,株式会社シーイーシー,"G01N21/88@J 
 G06T1/00,300 
 G06N99/00,153 
 他"
463,特願2017-046113,特許6236731,"2017/03/10
 2017/11/29
 2017/11/10",超解像度処理装置、超解像度処理方法およびコンピュータプログラム,株式会社ツバサファクトリー,"G06T3/40,730"
464,特願2016-098180,特開2017-208887,"2016/05/16
 2017/11/24
 -",デマンド要因分析システムおよびデマンド要因分析方法,学校法人中部大学 他,"H02J3/00,130 
 G01R21/00@Z 
 G06Q50/06"
465,特願2017-075064,特開2017-208078,"2017/04/05
 2017/11/24
 -",製造材料サプライチェーン途絶管理システム,ザ・ボーイング・カンパニー,"G05B19/418@Z 
 G06Q10/08,332 
 G06Q50/04"
466,特願2016-100128,特開2017-207939,"2016/05/19
 2017/11/24
 -",リスクベース認証装置、リスク判定モデル用学習データ生成装置、リスク判定モデル学習装置、リスク判定モデル用学習データ生成方法、リスク判定モデル学習方法、プログラム,日本電信電話株式会社,"G06F21/31 
 G06N99/00,153"
467,特願2016-099438,特開2017-207894,"2016/05/18
 2017/11/24
 -",統合監視運用システムおよび方法,株式会社日立システムズ,"G06F11/34,147 
 G06N99/00,153 
 G06F21/55 
 他"
468,特願2016-099394,特開2017-207891,"2016/05/18
 2017/11/24
 -",情報処理装置、情報処理システム、情報処理方法,ソニーモバイルコミュニケーションズ株式会社 他,"G06F3/01,510 
 G06F3/16,520 
 H04M1/00@U 
 他"
469,特願2016-099393,特開2017-207890,"2016/05/18
 2017/11/24
 -",情報処理装置、情報処理システム、情報処理方法,ソニーモバイルコミュニケーションズ株式会社 他,"G06F3/01,570 
 G06F3/01,510"
470,特願2017-165308,特開2017-205605,"2017/08/30
 2017/11/24
 -",血管形状及び生理学から血流特性を推定するシステム及び方法,ハートフロー， インコーポレイテッド,"A61B5/02,800@Z 
 A61B5/026,140"
471,特願2017-105667,特許6232607,"2017/05/29
 2017/11/22
 2017/11/02",特許要件適否予測装置および特許要件適否予測プログラム,白井 和之,"G06F17/30,350@C 
 G06F17/30,220@Z 
 G06F17/30,170@A 
 他"
472,特願2016-094600,特開2017-204067,"2016/05/10
 2017/11/16
 -",手話会話支援システム,株式会社オルツ,"G06T7/20,300@A 
 G09B21/04 
 G09B21/00@F"
473,特願2016-093841,特開2017-203637,"2016/05/09
 2017/11/16
 -",腫瘍細胞検出方法及び腫瘍細胞検出装置,公立大学法人和歌山県立医科大学 他,G01N21/359
474,特願2017-005712,特開2017-202820,"2017/01/17
 2017/11/16
 -",飛行イベント中の航空機のオンボード構造的負荷評価,ザ・ボーイング・カンパニー,"B64D45/00@Z 
 B64F5/40"
475,特願2016-092211,特開2017-201437,"2016/05/02
 2017/11/09
 -",ニュース素材抽出装置及びプログラム,日本放送協会,"G06F17/30,220@Z 
 G06N99/00,153 
 G06F17/30,170@A"
476,特願2017-020290,特開2017-200565,"2017/02/07
 2017/11/09
 -",動態解析装置及び動態解析システム,コニカミノルタ株式会社,"A61B6/00,330@A 
 A61B6/00,350@C"
477,特願2016-231170,特許6228656,"2016/11/29
 2017/11/08
 2017/10/20",医療機器監視システム,株式会社ダイトーマイテック 他,"G06Q50/22 
 H04Q9/00,311@H 
 H04Q9/00,301@B"
478,特願2017-516806,再表2018/066074,"2016/10/04
 2017/11/08
 2017/10/20",情報処理装置、情報処理方法及び情報処理プログラム,三菱電機株式会社,"G06F9/06,620@R 
 G06F17/50,654@Z 
 G06N99/00,150 
 他"
479,特願2016-090699,特開2017-200360,"2016/04/28
 2017/11/02
 -",太陽光発電量予測システム、太陽光発電量予測方法、プログラム,清水建設株式会社,"H02S50/00 
 G06Q50/06"
480,特願2016-087171,特開2017-199077,"2016/04/25
 2017/11/02
 -",複数台の産業機械を有する生産システムの動作を最適化するセルコントローラ,ファナック株式会社,"G05B19/042 
 G05B19/418@Z"
481,特願2016-089830,特開2017-196194,"2016/04/27
 2017/11/02
 -",睡眠状態解析支援装置、および、睡眠状態解析支援プログラム,国立大学法人大阪大学,A61B5/16
482,特願2018-513989,再表2017/187516,"2016/04/26
 2017/11/02
 -",情報処理システムおよびその運用方法,株式会社日立製作所,"G06N3/04,154 
 G06N3/08"
483,特願2016-238031,特許6224811,"2016/12/07
 2017/11/01
 2017/10/13",ルールセットを選択可能な推論エンジンを有するプログラム、装置及び方法,たけおかラボ株式会社,"G06N5/04 
 G06F17/30,170@A 
 G06F17/30,330@C 
 他"
484,特願2016-252936,特開2017-194949,"2016/12/27
 2017/10/26
 2018/03/09",対象物検出システム及び対象物検出方法,財団法人車輌研究測試中心,"G06T7/00,650 
 G06T7/00,350@B 
 G08G1/16@C"
485,特願2016-223844,特開2017-194945,"2016/11/17
 2017/10/26
 -",文字認識装置、方法およびプログラム,ＡＩ ｉｎｓｉｄｅ株式会社,"G06K9/62,650@A 
 G06K9/62,620@B"
486,特願2016-083068,特開2017-194747,"2016/04/18
 2017/10/26
 -",文字認識方法、文字認識装置及び文字認識プログラム,パナソニックＩＰマネジメント株式会社,G06K9/00@H
487,特願2018-513164,再表2017/183587,"2017/04/14
 2017/10/26
 2018/10/12",学習装置、学習方法および学習プログラム,日本電信電話株式会社,"G06N99/00,150 
 G06N7/00,150"
488,特願2016-082284,特開2017-191567,"2016/04/15
 2017/10/19
 -",生産計画を実施する生産システム,ファナック株式会社,"G05B19/418@Z 
 G06Q50/04"
489,特願2016-081072,特開2017-191490,"2016/04/14
 2017/10/19
 -",技能伝承システム及び方法,株式会社フジタ,"G06Q50/08 
 G09B5/02"
490,特願2016-081274,特開2017-191036,"2016/04/14
 2017/10/19
 -",ガス分析装置およびガス分析方法,富士通株式会社,"G01N27/12@C 
 G01N27/12@D"
491,特願2016-080649,特開2017-189394,"2016/04/13
 2017/10/19
 -",情報処理装置および情報処理システム,キヤノン株式会社,"A61B6/03,360@J"
492,特願2017-022902,特開2017-188083,"2017/02/10
 2017/10/12
 -",複数のデータストリームの相互関係,タレリス・グローバル・エルエルピー,"G06F17/30,220@Z 
 G06F17/27,680"
493,特願2016-076993,特開2017-187960,"2016/04/07
 2017/10/12
 -",情報処理装置,ソニーモバイルコミュニケーションズ株式会社,"G06F3/038,310@Y 
 G06F3/048 
 G06F3/01,510"
494,特願2016-074388,特開2017-187850,"2016/04/01
 2017/10/12
 -",画像処理システム、情報処理装置、プログラム,株式会社リコー,"G06T7/00,350@B 
 G06F17/30,170@B 
 G06F17/30,120@A 
 他"
495,特願2016-075476,特開2017-185577,"2016/04/04
 2017/10/12
 -",シミュレーション結果を利用して学習を行う機械学習装置，機械システム，製造システムおよび機械学習方法,ファナック株式会社,"B25J9/22@A 
 G05B19/4155@V 
 G06N99/00,150 
 他"
496,特願2016-075984,特開2017-185007,"2016/04/05
 2017/10/12
 -",放射線撮影装置、放射線画像の対象物検出プログラムおよび放射線画像における対象物検出方法,株式会社島津製作所,"A61B6/00,350@D 
 A61B6/12"
497,特願2017-055735,特開2017-182800,"2017/03/22
 2017/10/05
 2018/10/12",掴み検出の較正,フェイスブック，インク．,"G06F3/0487 
 G06N99/00,153 
 G06F3/01,510 
 他"
498,特願2016-069476,特開2017-182505,"2016/03/30
 2017/10/05
 -",プログラム及びサーバシステム,株式会社バンダイナムコエンターテインメント 他,"G06Q30/04 
 A63F13/2145 
 A63F13/792 
 他"
499,特願2016-067132,特開2017-182363,"2016/03/30
 2017/10/05
 -",情報処理装置、情報処理方法および情報処理プログラム,エコノミックインデックス株式会社,"G06Q30/02,300"
500,特願2016-066357,特開2017-182320,"2016/03/29
 2017/10/05
 -",機械学習装置,株式会社メガチップス,"G06N3/08,140"
501,特願2016-066356,特開2017-182319,"2016/03/29
 2017/10/05
 -",機械学習装置,株式会社メガチップス,"G06N3/08,120"
502,特願2016-063379,特開2017-182129,"2016/03/28
 2017/10/05
 -",情報処理装置。,ソニー株式会社,"G06N99/00,150 
 G06T13/60 
 G06T7/00,350@C 
 他"
503,特願2016-070354,特開2017-181353,"2016/03/31
 2017/10/05
 -",経路提示システム,日本電気株式会社,"G01C21/34 
 G09B29/10@A 
 G06F17/30,170@C 
 他"
504,特願2016-070595,特開2017-177297,"2016/03/31
 2017/10/05
 -",制御装置及び制御方法,ソニー株式会社,"B25J19/06 
 A61B90/50 
 B25J13/08@Z"
505,特願2016-067147,特開2017-176400,"2016/03/30
 2017/10/05
 -",動態解析装置、動態解析システム、動態解析方法及びプログラム,コニカミノルタ株式会社,"A61B6/00,330@A 
 A61B6/00,350@C"
506,特願2017-078682,特開2017-174437,"2017/04/12
 2017/09/28
 -",モバイルデバイス関連の親和性の度合い,フェイスブック，インク．,"G06Q50/00,300 
 H04M11/00,302 
 G06Q10/04"
507,特願2016-162604,特開2017-174375,"2016/08/23
 2017/09/28
 2018/06/22",リスク早期警報方法、装置、記憶媒体およびコンピュータプログラム,バイドゥ オンライン ネットワーク テクノロジー （ベイジン） カンパニー リミテッド,"G08B31/00@B 
 G06F19/00,100"
508,特願2016-060928,特開2017-174236,"2016/03/24
 2017/09/28
 2018/06/08",工作物の良否を判定する加工機械システム,ファナック株式会社,"G05B19/418@Z 
 G06Q50/04"
509,特願2016-058119,特開2017-174053,"2016/03/23
 2017/09/28
 -",配列データの集合演算装置、配列データの集合演算方法、その実行プログラム、その回路を組み込んだ半導体。,井上 克己,G06F17/16@Z
510,特願2016-057240,特開2017-173999,"2016/03/22
 2017/09/28
 -",ユーザの将来期間の生活パターンを予測する生活パターン予測装置、携帯端末、プログラム及び方法,ＫＤＤＩ株式会社,"G06F17/30,220@Z 
 G06F17/30,210@D 
 G06F17/30,310@Z"
511,特願2016-055422,特開2017-168057,"2016/03/18
 2017/09/21
 -",画像分類装置、画像分類システム及び画像分類方法,株式会社Ｓｐｅｃｔｅｅ,"G06F17/30,210@D 
 G06N3/04 
 G06T7/00,350@C 
 他"
512,特願2016-053038,特開2017-167854,"2016/03/16
 2017/09/21
 -",学習装置、方法、及びプログラム,株式会社東芝,"G06F17/27,670 
 G06N99/00,153 
 G06N5/02,150"
513,特願2016-052408,特開2017-167806,"2016/03/16
 2017/09/21
 -",関係可視化装置、方法およびプログラム,株式会社東芝,"G06F17/30,360@Z 
 G06F17/30,419@B"
514,特願2016-049326,特開2017-165502,"2016/03/14
 2017/09/21
 -",集品作業装置、集品作業方法および集品作業プログラム,日本電気株式会社,"B65G1/137@A 
 G06Q10/08,330"
515,特願2016-054190,特開2017-164801,"2016/03/17
 2017/09/21
 -",機械学習装置、レーザ加工システムおよび機械学習方法,ファナック株式会社,"B23K26/00@M 
 B23Q15/00,301@H 
 G05B19/4155@V 
 他"
516,特願2018-505181,再表2017/158812,"2016/03/18
 2017/09/21
 -",データ分類方法及びデータ分類装置,株式会社日立製作所,"G06F17/30,210@D 
 G06F17/30,220@Z"
517,特願2016-140306,特許6200041,"2016/07/15
 2017/09/20
 2017/09/01",店舗検索システムおよび方法,株式会社三井住友銀行 他,"G06Q40/02 
 G06Q50/10"
518,特願2016-048519,特開2017-163485,"2016/03/11
 2017/09/14
 -",光受信装置および光受信装置における光シンボルラベル識別法,国立大学法人名古屋大学,"H04B9/00,610 
 H04L27/00@G 
 H04B9/00,179 
 他"
519,特願2016-047324,特開2017-163036,"2016/03/10
 2017/09/14
 2018/06/29",機械学習装置、レーザ装置および機械学習方法,ファナック株式会社,H01S5/062
520,特願2016-069494,特開2017-162426,"2016/03/12
 2017/09/14
 2018/08/17",ファンクショナルスタンプを備えたウィザートシステム,セールスワン株式会社,"G06Q10/00 
 G06Q10/06"
521,特願2016-048624,特開2017-162387,"2016/03/11
 2017/09/14
 -",ネットワークシステム、機能設定方法および機能設定プログラム,オムロン株式会社,"G06F9/06,610@C 
 G06F9/445"
522,特願2016-046241,特開2017-162209,"2016/03/09
 2017/09/14
 -",分散処理実行管理プログラム、分散処理実行管理方法および分散処理実行管理装置,富士通株式会社,"G06F9/46,465@C 
 G06N99/00,150 
 G06F9/46,465@E 
 他"
523,特願2016-045646,特開2017-162159,"2016/03/09
 2017/09/14
 -",検索制御プログラム、検索制御装置及び検索制御方法,富士通株式会社,"G06F17/30,210@D 
 G06F17/30,180@A"
524,特願2017-075427,特開2017-159052,"2017/04/05
 2017/09/14
 2018/03/23",装着可能な装置,ヴァレンセル，インコーポレイテッド,"A61B5/02,310@B 
 A61B5/02,310@G 
 A61B5/02,710@P 
 他"
525,特願2017-021034,特開2017-159027,"2017/02/08
 2017/09/14
 -",超音波診断装置及び超音波診断支援装置,東芝メディカルシステムズ株式会社,A61B8/14
526,特願2016-045495,特開2017-158781,"2016/03/09
 2017/09/14
 -",画像表示制御装置および方法並びにプログラム,富士フイルム株式会社,"A61B6/03,360@D 
 A61B5/05,380 
 A61B6/03,370@E 
 他"
527,特願2018-503884,再表2017/154091,"2016/03/08
 2017/09/14
 -",回転機の診断装置及び診断方法,株式会社日立製作所,H02P29/024
528,特願2016-256941,特開2017-157197,"2016/12/28
 2017/09/07
 2017/10/20",複数の機械と相互通信を行う機械システム、機械制御用コンピュータ、ベースソフトウェア、コンピュータ読取可能な記録媒体、及び機械制御方法,ファナック株式会社,G05B19/418@Z
529,特願2016-038030,特開2017-156886,"2016/02/29
 2017/09/07
 -",画像間類似度を考慮して物体を追跡する装置、プログラム及び方法,ＫＤＤＩ株式会社,"G06T7/20@B 
 G06T7/00,350@C 
 G06T7/20"
530,特願2016-037563,特開2017-156854,"2016/02/29
 2017/09/07
 -",感情分類によって文脈意味の理解精度を高める発話意味分析プログラム、装置及び方法,ＫＤＤＩ株式会社,"G06F17/27,685 
 G10L15/10,500@N 
 G10L15/10,500@T"
531,特願2016-039298,特開2017-156517,"2016/03/01
 2017/09/07
 -",表示装置の欠陥モード分類システム,凸版印刷株式会社,"G02B5/20,101 
 G02F1/13,101 
 G09F9/00,338"
532,特願2016-041528,特開2017-153821,"2016/03/03
 2017/09/07
 -",情報端末装置の制御方法、体動測定装置、及び、プログラム,パナソニックＩＰマネジメント株式会社,"A61B5/10,310@A 
 A61B5/11"
533,特願2016-036438,特開2017-151933,"2016/02/26
 2017/08/31
 -",データ分類装置、データ分類方法、及びプログラム,エヌ・ティ・ティ・コミュニケーションズ株式会社,"G06F17/30,210@D 
 G06N99/00,153 
 G06F17/30,170@A"
534,特願2016-035461,特開2017-151860,"2016/02/26
 2017/08/31
 -",検索制御プログラム、検索制御装置及び検索制御方法,富士通株式会社,"G06F17/30,180@A 
 G06N99/00,153 
 G06F17/30,210@D 
 他"
535,特願2016-034774,特開2017-151813,"2016/02/25
 2017/08/31
 2018/05/11",入力画像から検出した対象物を表示する画像処理装置,ファナック株式会社,"G06T1/00,305@A 
 G06T7/00,610"
536,特願2016-032942,特開2017-151679,"2016/02/24
 2017/08/31
 -",識別装置及び識別プログラム,コニカミノルタ株式会社,"G06T7/00,350@B 
 G06N99/00,150 
 G06T7/00,250"
537,特願2016-032262,特開2017-151629,"2016/02/23
 2017/08/31
 -",検索制御プログラム、検索制御装置及び検索制御方法,富士通株式会社,"G06F17/30,330@B 
 G06F17/30,180@A"
538,特願2016-031375,特開2017-151557,"2016/02/22
 2017/08/31
 -",情報処理装置、情報処理方法及びプログラム,キヤノン株式会社,"G06N99/00,153 
 G06F17/30,210@D"
539,特願2016-036467,特開2017-148447,"2016/02/26
 2017/08/31
 -",瞬き検出システム、瞬き検出方法,学校法人慶應義塾,"A61B5/10,310@Z 
 G01S13/58 
 A61B5/11"
540,特願2016-051019,特許6188172,"2016/03/15
 2017/08/30
 2017/08/10",特許要件適否予測装置および特許要件適否予測プログラム,白井 和之,"G06F17/30,220@Z 
 G06Q50/18,310 
 G06F17/30,170@Z 
 他"
541,特願2016-237905,特開2017-146961,"2016/12/07
 2017/08/24
 2018/03/09",非定型テキストの抽出性能の向上のためのシステム及び方法,コリア インスティテュート オブ サイエンス アンド テクノロジー インフォメイション,"G06F17/30,210@A 
 G06F17/30,220@Z 
 G06F17/27,665"
542,特願2016-030215,特開2017-146924,"2016/02/19
 2017/08/24
 -",コンテンツ収集装置、コンテンツ収集方法およびコンテンツ収集プログラム,ヤフー株式会社,"G06F13/00,540@A 
 G06F17/30,180@Z"
